recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R1910,65,8094,neck+border,firozi,722 Royal,752 Royal,770 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8094 Border.BMP|Jeetubhai Images\OS New folder (8) Images\8094 Neck 250.BMP,43 KP,high
R1911,65,8094,neck+border,pink,766 Royal,372 L Royal,27 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8094 Border.BMP|Jeetubhai Images\OS New folder (8) Images\8094 Neck 250.BMP,51 KP,high
R1922,66,8085,neck,blue,190 Raj,84 Royal,937 D Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8085 Neck 250.BMP,,high
R1923,66,8085,neck,green,702 Raj,112 N Raj,342 DR Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8085 Neck 250.BMP,,high
R1924,66,8085,neck,yellow,190 Raj,104 Raj,88 N Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8085 Neck 250.BMP,,high
R1931,66,8088,neck,green,LMLL Royal,315 D Royal,731 L Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8088 Neck 250.BMP,70 Pcs,medium
R1932,66,8088,neck,purple,715 Raj,727 Royal,30 NR Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8088 Neck 250.BMP,68 Pcs,high
R1933,66,8088,neck,red,784 Royal,728 Royal,47 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8088 Neck 250.BMP,70 Pcs,high
R1937,67,5050,kp,firozi,73 N Raj,756 Royal,74 N Raj,,,,,Jeetubhai Images\OS New folder (5) Images\5050 Kurta patti 250.BMP,,high
R1938,67,5050,kp,orange,790 Royal,778 D Royal,88 Royal,,,,,Jeetubhai Images\OS New folder (5) Images\5050 Kurta patti 250.BMP,,high
R1939,67,5050,kp,yellow,806 Royal,788 Royal,105 Raj,,,,,Jeetubhai Images\OS New folder (5) Images\5050 Kurta patti 250.BMP,,high
R1960,67,8028,neck,green,118 L Royal,110 Royal,911 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8028 Neck 3 250.JPG,,high
R1961,67,8028,neck,light green,118 L Royal,110 Royal,935 Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8028 Neck 3 250.JPG,,high
