recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R2167,74,7015,neck+border,blue,76 Royal,372 Royal,49 L Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7015 Border 250.JPG|Jeetubhai Images\OS New folder (7) Images\7015 Nake KP 250.JPG,,high
R2168,74,7015,neck+border,green,839 Royal,372 Royal,49 L Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7015 Border 250.JPG|Jeetubhai Images\OS New folder (7) Images\7015 Nake KP 250.JPG,,high
R2169,74,7015,neck+border,orange,732 Royal,372 Royal,49 L Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7015 Border 250.JPG|Jeetubhai Images\OS New folder (7) Images\7015 Nake KP 250.JPG,,high
R2170,74,7097,neck,blue,74 N Raj,313 Royal,190 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7097 Nake P2 250  small.JPG,LG,high
R2171,74,7097,neck,green,836 Royal,313 Royal,190 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7097 Nake P2 250  small.JPG,LG,high
R2172,74,7097,neck,pink,775 Royal,313 Royal,190 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7097 Nake P2 250  small.JPG,LG,high
R2173,74,7098,neck,green,33 S Royal,75 N Raj,,,,,,Jeetubhai Images\OS New folder (7) Images\7098 Nake 400.JPG,,high
R2174,74,7098,neck,pink,33 S Raj,357 Royal,,,,,,Jeetubhai Images\OS New folder (7) Images\7098 Nake 400.JPG,,high
R2175,74,7098,neck,yellow,33 S Royal,189 Raj,,,,,,Jeetubhai Images\OS New folder (7) Images\7098 Nake 400.JPG,,high
R2176,74,8002,neck+border,blue,49 L Royal,313 Royal,190 Raj,74 N Raj,,,,Jeetubhai Images\OS New folder (8) Images\8002 border 200.JPG,,high
