recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R1930,66,8087,neck,,709 Royal,778 D Royal,782 Royal,,,,mang,Jeetubhai Images\OS New folder (8) Images\8087 Neck 250.BMP,68 Pcs,high
R1934,66,8089,neck,,728 D Royal,79 Royal,,,,,mang,Jeetubhai Images\OS New folder (8) Images\8089 Neck 250.BMP,73 Pcs,high
R1935,66,8089,neck,,766 Raj,716 Royal,,,,,mang,Jeetubhai Images\OS New folder (8) Images\8089 Neck 250.BMP,73 Pcs,high
R1936,66,8089,neck,,86 Royal,739 Raj,,,,,mang,Jeetubhai Images\OS New folder (8) Images\8089 Neck 250.BMP,71 Pcs,high
R1940,67,7066,kp,,768 D Royal,834 DD Raj,104 N Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7066 KP 200.JPG,76 Pcs,high
R1941,67,7066,kp,,917 Raj,74 N Raj,782 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7066 KP 200.JPG,66 Pcs,high
R1942,67,7066,kp,,M Royal,104 N Raj,719 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7066 KP 200.JPG,62 Pcs,high
R1943,67,7090,kp,,8 NL Royal,322 Royal,792 D Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7090 KP 200.JPG|Jeetubhai Images\OS New folder (7) Images\7090 KP 400.BMP,51 Pcs,high
R1944,67,7090,kp,,911 D Royal,322 Royal,722 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7090 KP 200.JPG|Jeetubhai Images\OS New folder (7) Images\7090 KP 400.BMP,54 Pcs,high
R1945,67,7090,kp,,MD Royal,322 Royal,LM Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7090 KP 200.JPG|Jeetubhai Images\OS New folder (7) Images\7090 KP 400.BMP,51 Pcs,high
R1946,67,8012,neck,,756 Royal,74 N Raj,73 N Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8012 Nake 250.JPG,,high
R1947,67,8012,neck,,768 Royal,105 Raj,806 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8012 Nake 250.JPG,,high
R1948,67,8012,neck,,778 D Royal,88 Royal,790 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8012 Nake 250.JPG,,high
R1949,67,8014,neck,,343 Royal,222 D Raj,75 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8014 Nake 250.BMP|Jeetubhai Images\OS New folder (8) Images\8014 Nake 250.JPG,,high
